ID,Назва,Бренд,Місто,Область,Адреса,Координати,Послуги,График,Мийка,Кафе,Магазин,Типи_палива,Електрозарядка
709,"WOG #710","WOG","Костянтинівка","Донецька","вул. Франка, 188, Костянтинівка","47.815416, 37.112227","мийка, кафе, магазин","24/7",Так,Так,Так,"А-95, А-92, ДП",Ні
642,"WOG #643","WOG","Токмак","Запорізька","пр. Незалежності, 60, Токмак","47.912426, 35.025935","магазин","07:00-23:00",Ні,Так,Так,"А-95, ДП",Ні
657,"УКРНАФТА #658","УКРНАФТА","Мелітополь","Запорізька","вул. Франка, 143, Мелітополь","47.753558, 35.811246","мийка","05:00-21:00",Так,Так,Так,"А-95, А-92, ДП",Так
531,"УКРНАФТА #532","УКРНАФТА","Трускавець","Львівська","вул. Центральна, 140, Трускавець","49.522637, 22.795961","мийка, кафе","05:00-21:00",Ні,Ні,Так,"А-95, А-92, ДП",Ні
443,"Shell #444","Shell","Кривий Ріг","Дніпропетровська","пр. Незалежності, 13, Кривий Ріг","47.883946, 35.674531","мийка, магазин","05:00-21:00",Так,Так,Так,"А-95, ДП",Ні
432,"WOG #433","WOG","Новомосковськ","Дніпропетровська","вул. Франка, 5, Новомосковськ","47.785518, 35.475493","мийка, магазин","06:00-22:00",Ні,Так,Так,"А-95, А-92, ДП, А-98",Ні
688,"АВІАС #689","АВІАС","Запоріжжя","Запорізька","пр. Миру, 146, Запоріжжя","47.214172, 34.335969","магазин","24/7",Так,Так,Ні,"А-95, А-92, ДП",Ні
662,"UPG #663","UPG","Токмак","Запорізька","вул. Франка, 99, Токмак","47.839868, 35.245511","мийка, магазин","06:00-22:00",Так,Ні,Так,"А-95, ДП",Ні
414,"WOG #415","WOG","Павлоград","Дніпропетровська","пр. Незалежності, 67, Павлоград","48.390960, 36.228459","магазин","07:00-23:00",Ні,Так,Ні,"А-95, А-92, ДП",Ні
459,"UPG #460","UPG","Дніпро","Дніпропетровська","вул. Центральна, 122, Дніпро","48.055925, 35.916420","мийка, кафе, магазин","05:00-21:00",Ні,Ні,Так,"А-95, А-92, ДП",Ні
518,"WOG #519","WOG","Кривий Ріг","Дніпропетровська","пр. Незалежності, 18, Кривий Ріг","49.002286, 35.790762","мийка, кафе, магазин","07:00-23:00",Так,Ні,Так,"А-95",Так
631,"БРСМ #632","БРСМ","Запоріжжя","Запорізька","вул. Франка, 28, Запоріжжя","47.768027, 36.541693","","24/7",Так,Так,Так,"А-95, А-92, ДП",Ні
704,"БРСМ #705","БРСМ","Запоріжжя","Запорізька","вул. Шевченка, 198, Запоріжжя","47.099294, 36.658127","магазин, шиномонтаж","06:00-22:00",Ні,Так,Так,"А-95, ДП, А-98, Газ",Ні
692,"УКРНАФТА #693","УКРНАФТА","Токмак","Запорізька","вул. Франка, 23, Токмак","46.863820, 36.258823","мийка, магазин","07:00-23:00",Ні,Так,Так,"А-95, А-92, ДП, А-98",Ні
450,"УКРНАФТА #451","УКРНАФТА","Дніпро","Дніпропетровська","пр. Незалежності, 43, Дніпро","47.731211, 34.563764","мийка, шиномонтаж","24/7",Так,Так,Так,"А-95, А-92, ДП",Ні
422,"Shell #423","Shell","Нікополь","Дніпропетровська","пр. Незалежності, 29, Нікополь","48.468359, 34.485150","магазин","05:00-21:00",Так,Ні,Ні,"А-95, А-92, ДП",Ні
557,"OKKO #558","OKKO","Трускавець","Львівська","пр. Миру, 33, Трускавець","49.603988, 24.405100","магазин","05:00-21:00",Так,Так,Ні,"А-95",Ні
453,"UPG #454","UPG","Новомосковськ","Дніпропетровська","пр. Незалежності, 133, Новомосковськ","48.523317, 34.310995","","24/7",Ні,Так,Так,"А-95, ДП, А-98",Ні
556,"WOG #557","WOG","Червоноград","Львівська","пр. Незалежності, 35, Червоноград","49.700742, 23.657097","кафе, магазин","24/7",Так,Ні,Так,"А-95, А-92, ДП",Ні
413,"OKKO #414","OKKO","Кривий Ріг","Дніпропетровська","вул. Франка, 171, Кривий Ріг","47.579414, 35.992255","мийка, кафе, магазин","07:00-23:00",Так,Ні,Ні,"А-95, А-92, ДП",Ні
638,"УКРНАФТА #639","УКРНАФТА","Токмак","Запорізька","вул. Франка, 171, Токмак","47.478949, 34.629034","мийка","07:00-23:00",Так,Ні,Ні,"А-95, А-92, ДП",Ні
457,"АВІАС #458","АВІАС","Павлоград","Дніпропетровська","пр. Незалежності, 170, Павлоград","47.985160, 35.916870","кафе, магазин","06:00-22:00",Ні,Ні,Ні,"А-95, А-92, ДП",Ні
694,"Shell #695","Shell","Енергодар","Запорізька","пр. Незалежності, 4, Енергодар","47.301866, 34.119410","мийка, магазин","06:00-22:00",Так,Так,Так,"А-95, А-92, ДП, А-98",Ні
541,"УКРНАФТА #542","УКРНАФТА","Трускавець","Львівська","вул. Центральна, 51, Трускавець","50.021553, 22.609914","кафе","24/7",Ні,Так,Так,"А-95, А-92, ДП, А-98",Ні
513,"Shell #514","Shell","Дніпро","Дніпропетровська","вул. Франка, 183, Дніпро","47.821740, 33.963311","магазин, шиномонтаж","05:00-21:00",Так,Так,Так,"А-95, А-92, ДП",Так
458,"Shell #459","Shell","Дніпро","Дніпропетровська","вул. Франка, 108, Дніпро","48.963786, 33.936472","мийка, магазин","24/7",Ні,Так,Так,"А-95, А-92, ДП",Так
418,"WOG #419","WOG","Дніпро","Дніпропетровська","вул. Центральна, 146, Дніпро","48.162131, 35.984462","кафе, магазин","07:00-23:00",Так,Так,Так,"А-95, ДП",Ні
614,"OKKO #615","OKKO","Самбір","Львівська","вул. Шевченка, 160, Самбір","50.111475, 22.677557","мийка, шиномонтаж","06:00-22:00",Так,Ні,Так,"А-95, А-92, ДП",Ні
667,"OKKO #668","OKKO","Бердянськ","Запорізька","вул. Франка, 181, Бердянськ","47.616543, 35.769042","мийка, кафе, магазин, шиномонтаж","06:00-22:00",Так,Ні,Ні,"А-95, ДП, А-98",Ні
644,"UPG #645","UPG","Мелітополь","Запорізька","пр. Незалежності, 56, Мелітополь","47.703477, 35.777919","мийка","05:00-21:00",Так,Так,Так,"А-95, ДП",Ні
714,"АВІАС #715","АВІАС","Слов'янськ","Донецька","вул. Франка, 49, Слов'янськ","47.327954, 38.536565","мийка, магазин, шиномонтаж","06:00-22:00",Ні,Ні,Так,"А-95, А-92, ДП",Ні
671,"OKKO #672","OKKO","Токмак","Запорізька","пр. Незалежності, 45, Токмак","47.994535, 34.402114","магазин, шиномонтаж","07:00-23:00",Ні,Так,Так,"А-95, ДП, А-98",Ні
627,"АВІАС #628","АВІАС","Бердянськ","Запорізька","вул. Шевченка, 135, Бердянськ","47.650177, 35.248980","магазин","05:00-21:00",Так,Так,Так,"А-95, А-92",Ні
528,"SOCAR #529","SOCAR","Трускавець","Львівська","вул. Франка, 13, Трускавець","49.451482, 24.217594","кафе, магазин, шиномонтаж","07:00-23:00",Так,Так,Так,"А-95, ДП",Ні
5,"БРСМ #006","БРСМ","Ірпінь","Київська","вул. Шевченка, 183, Ірпінь","50.072173, 31.262621","кафе, магазин, шиномонтаж","05:00-21:00",Так,Ні,Так,"А-95, А-92, ДП",Ні
654,"OKKO #655","OKKO","Бердянськ","Запорізька","пр. Незалежності, 193, Бердянськ","47.987324, 36.045909","мийка","07:00-23:00",Ні,Ні,Так,"А-95, А-92, ДП",Ні
620,"WOG #621","WOG","Стрий","Львівська","пр. Миру, 106, Стрий","49.910148, 23.690710","магазин","24/7",Так,Так,Так,"А-95, ДП",Так
78,"OKKO #079","OKKO","Бориспіль","Київська","вул. Центральна, 174, Бориспіль","50.019017, 31.258177","мийка, магазин","05:00-21:00",Ні,Так,Так,"А-95, ДП",Ні
50,"УКРНАФТА #051","УКРНАФТА","Біла Церква","Київська","вул. Франка, 189, Біла Церква","50.108338, 30.664241","кафе, магазин","07:00-23:00",Ні,Так,Так,"А-95, А-92, ДП",Так
19,"УКРНАФТА #020","УКРНАФТА","Обухів","Київська","пр. Незалежності, 135, Обухів","50.547989, 30.442195","магазин","24/7",Так,Ні,Так,"А-95, А-92, ДП",Ні
439,"УКРНАФТА #440","УКРНАФТА","Павлоград","Дніпропетровська","пр. Незалежності, 147, Павлоград","47.571198, 35.123380","мийка, магазин, шиномонтаж","07:00-23:00",Ні,Так,Так,"А-95, А-92, ДП, Газ",Ні
38,"АВІАС #039","АВІАС","Фастів","Київська","вул. Франка, 58, Фастів","50.239015, 30.110208","мийка, магазин","06:00-22:00",Ні,Так,Так,"А-95, ДП",Ні
79,"UPG #080","UPG","Бровари","Київська","пр. Миру, 183, Бровари","50.702753, 30.763815","мийка, магазин","24/7",Ні,Так,Так,"А-95, А-98",Так
452,"WOG #453","WOG","Кривий Ріг","Дніпропетровська","пр. Миру, 103, Кривий Ріг","48.669299, 34.293832","мийка","06:00-22:00",Ні,Ні,Так,"А-95, А-92, ДП",Ні
737,"WOG #738","WOG","Слов'янськ","Донецька","вул. Шевченка, 199, Слов'янськ","47.160991, 38.026167","мийка, магазин","05:00-21:00",Так,Так,Ні,"А-95, А-92, ДП, А-98",Ні
99,"АВІАС #100","АВІАС","Фастів","Київська","пр. Миру, 12, Фастів","50.384442, 30.546311","мийка","07:00-23:00",Так,Ні,Так,"А-95, А-92, ДП, А-98",Ні
715,"УКРНАФТА #716","УКРНАФТА","Краматорськ","Донецька","пр. Незалежності, 170, Краматорськ","47.985867, 37.028186","магазин, шиномонтаж","24/7",Так,Ні,Так,"А-95, ДП, А-98",Ні
1072,"WOG #1073","WOG","Бердичів","Житомирська","вул. Шевченка, 127, Бердичів","48.172123, 36.894265","мийка, магазин","24/7",Так,Так,Так,"А-95, А-92, ДП, А-98",Ні
1080,"SOCAR #1081","SOCAR","Малин","Житомирська","вул. Центральна, 124, Малин","50.107303, 26.590939","мийка, шиномонтаж","05:00-21:00",Ні,Так,Так,"А-95, ДП",Ні
425,"UPG #426","UPG","Кривий Ріг","Дніпропетровська","вул. Шевченка, 136, Кривий Ріг","48.552264, 35.777471","","24/7",Ні,Так,Так,"А-95, А-92, ДП",Так
1114,"Shell #1115","Shell","Кам'янець-Подільський","Хмельницька","вул. Франка, 185, Кам'янець-Подільський","48.374739, 32.983089","мийка, магазин","24/7",Ні,Так,Так,"А-95, А-92",Ні
57,"WOG #058","WOG","Васильків","Київська","вул. Центральна, 174, Васильків","50.093284, 31.217795","магазин","24/7",Так,Так,Ні,"А-95, А-92, ДП",Так
770,"БРСМ #771","БРСМ","Слов'янськ","Донецька","пр. Незалежності, 135, Слов'янськ","47.882474, 38.903876","","07:00-23:00",Ні,Так,Так,"А-95, А-92, ДП",Так
1116,"УКРНАФТА #1117","УКРНАФТА","Старокостянтинів","Хмельницька","пр. Незалежності, 198, Старокостянтинів","48.883531, 33.611184","мийка, кафе, шиномонтаж","24/7",Ні,Так,Так,"А-95, А-92, ДП",Ні
520,"УКРНАФТА #521","УКРНАФТА","Павлоград","Дніпропетровська","вул. Франка, 11, Павлоград","48.208592, 36.378605","мийка, магазин","05:00-21:00",Ні,Ні,Так,"А-95, А-92",Ні
1091,"АВІАС #1092","АВІАС","Кам'янець-Подільський","Хмельницька","вул. Шевченка, 141, Кам'янець-Подільський","50.677281, 35.996246","кафе, магазин","06:00-22:00",Так,Ні,Так,"А-95, А-92, ДП",Ні
35,"УКРНАФТА #036","УКРНАФТА","Біла Церква","Київська","пр. Незалежності, 75, Біла Церква","50.162926, 30.594234","магазин","24/7",Так,Так,Ні,"А-95, А-92, ДП",Ні
1075,"УКРНАФТА #1076","УКРНАФТА","Коростень","Житомирська","пр. Миру, 13, Коростень","48.198615, 35.828542","мийка, магазин","24/7",Так,Так,Так,"А-95, А-92, ДП",Ні
1141,"UPG #1142","UPG","Дубно","Рівненська","пр. Миру, 53, Дубно","50.894110, 31.348452","мийка, магазин","07:00-23:00",Ні,Ні,Так,"А-95, А-92, ДП, Газ",Ні
646,"УКРНАФТА #647","УКРНАФТА","Мелітополь","Запорізька","вул. Центральна, 188, Мелітополь","47.792303, 35.777648","магазин","07:00-23:00",Так,Так,Так,"А-95",Ні
1107,"WOG #1108","WOG","Хмельницький","Хмельницька","пр. Миру, 176, Хмельницький","49.246407, 22.418143","мийка, магазин","06:00-22:00",Ні,Ні,Так,"А-95, А-92, ДП, А-98",Ні
1130,"WOG #1131","WOG","Шепетівка","Хмельницька","вул. Шевченка, 96, Шепетівка","50.919275, 34.481366","кафе, магазин","24/7",Так,Ні,Так,"А-95, А-92, ДП",Ні
427,"УКРНАФТА #428","УКРНАФТА","Дніпро","Дніпропетровська","вул. Центральна, 73, Дніпро","48.969420, 34.441438","мийка, кафе, магазин","07:00-23:00",Так,Ні,Ні,"А-95, А-92, ДП, А-98",Так
1109,"OKKO #1110","OKKO","Хмельницький","Хмельницька","вул. Франка, 169, Хмельницький","50.411092, 28.642493","кафе, магазин","05:00-21:00",Так,Ні,Так,"А-95, А-92",Ні
1123,"OKKO #1124","OKKO","Кам'янець-Подільський","Хмельницька","пр. Миру, 35, Кам'янець-Подільський","50.214079, 33.341882","кафе, магазин","05:00-21:00",Ні,Ні,Так,"А-95, А-92, ДП",Ні
977,"OKKO #978","OKKO","Ромни","Сумська","вул. Центральна, 43, Ромни","49.379252, 29.309737","мийка, кафе, магазин","24/7",Ні,Так,Ні,"А-95, ДП, А-98, Газ",Ні
1110,"OKKO #1111","OKKO","Хмельницький","Хмельницька","вул. Центральна, 60, Хмельницький","48.791908, 31.593259","мийка, кафе, магазин","05:00-21:00",Так,Так,Так,"А-95, ДП, А-98",Ні
1117,"УКРНАФТА #1118","УКРНАФТА","Хмельницький","Хмельницька","вул. Франка, 166, Хмельницький","48.175613, 25.835297","мийка, кафе, магазин","07:00-23:00",Так,Так,Так,"А-95, А-92, ДП",Ні
80,"АВІАС #081","АВІАС","Фастів","Київська","пр. Незалежності, 90, Фастів","50.286714, 30.857955","мийка, магазин","24/7",Ні,Так,Так,"А-95, А-92, ДП",Ні
792,"OKKO #793","OKKO","Гайсин","Вінницька","пр. Миру, 72, Гайсин","48.914652, 29.353612","","05:00-21:00",Так,Так,Так,"А-95, А-92, ДП, А-98",Так
514,"УКРНАФТА #515","УКРНАФТА","Нікополь","Дніпропетровська","пр. Миру, 153, Нікополь","48.041492, 36.425091","мийка, магазин","06:00-22:00",Так,Ні,Ні,"А-95, А-92, ДП",Ні
97,"УКРНАФТА #098","УКРНАФТА","Обухів","Київська","пр. Незалежності, 156, Обухів","50.639500, 31.301843","мийка, магазин","06:00-22:00",Так,Ні,Ні,"А-95, А-92, ДП",Так
628,"OKKO #629","OKKO","Енергодар","Запорізька","вул. Франка, 199, Енергодар","47.622221, 34.262890","кафе","24/7",Так,Так,Так,"А-95, ДП",Ні
1127,"Shell #1128","Shell","Кам'янець-Подільський","Хмельницька","пр. Миру, 52, Кам'янець-Подільський","49.516638, 32.243799","мийка, магазин","05:00-21:00",Так,Ні,Так,"А-95, ДП",Так
84,"OKKO #085","OKKO","Ірпінь","Київська","вул. Шевченка, 101, Ірпінь","50.525501, 29.598374","кафе, магазин, шиномонтаж","24/7",Ні,Так,Так,"А-95, А-92, ДП",Так
551,"WOG #552","WOG","Борислав","Львівська","вул. Франка, 121, Борислав","49.255135, 24.652290","мийка, кафе, магазин","24/7",Так,Так,Так,"А-95, ДП",Ні
41,"UPG #042","UPG","Фастів","Київська","вул. Центральна, 107, Фастів","50.137841, 30.293759","кафе, магазин","24/7",Ні,Так,Так,"А-95, А-92, ДП",Ні
560,"WOG #561","WOG","Борислав","Львівська","вул. Центральна, 179, Борислав","49.468741, 24.764915","кафе","05:00-21:00",Ні,Ні,Ні,"А-95, ДП",Так
1145,"OKKO #1146","OKKO","Здолбунів","Рівненська","вул. Шевченка, 68, Здолбунів","48.827038, 23.906443","мийка, кафе, магазин","05:00-21:00",Так,Так,Ні,"А-95, А-92, ДП",Так
893,"Shell #894","Shell","Комсомольськ","Полтавська","пр. Незалежності, 133, Комсомольськ","48.539893, 22.984361","кафе, магазин","06:00-22:00",Ні,Так,Так,"А-95, А-92, ДП",Ні
603,"OKKO #604","OKKO","Самбір","Львівська","вул. Шевченка, 76, Самбір","49.707365, 23.682494","мийка","24/7",Так,Ні,Так,"А-95, ДП",Ні
1031,"УКРНАФТА #1032","УКРНАФТА","Бердичів","Житомирська","вул. Шевченка, 56, Бердичів","50.784771, 27.406106","мийка, магазин","07:00-23:00",Ні,Так,Так,"А-95, А-92, ДП",Ні
1021,"WOG #1022","WOG","Глухів","Сумська","пр. Незалежності, 183, Глухів","49.882521, 39.115373","магазин","05:00-21:00",Ні,Так,Так,"А-95, А-92, ДП",Так
44,"OKKO #045","OKKO","Обухів","Київська","вул. Центральна, 134, Обухів","50.053691, 30.638906","кафе, магазин, шиномонтаж","06:00-22:00",Так,Ні,Ні,"А-95, А-92, ДП",Так
63,"АВІАС #064","АВІАС","Київ","Київська","пр. Незалежності, 17, Київ","50.798533, 29.677441","кафе, магазин","24/7",Ні,Так,Ні,"А-95, А-92, ДП",Ні
871,"АВІАС #872","АВІАС","Комсомольськ","Полтавська","пр. Миру, 93, Комсомольськ","48.722726, 38.586115","магазин","06:00-22:00",Так,Ні,Так,"А-95, А-92, ДП",Ні
69,"УКРНАФТА #070","УКРНАФТА","Біла Церква","Київська","вул. Шевченка, 78, Біла Церква","50.291608, 31.438062","магазин","07:00-23:00",Так,Так,Ні,"А-95, ДП",Ні
632,"OKKO #633","OKKO","Токмак","Запорізька","пр. Миру, 6, Токмак","47.612227, 35.919664","мийка, магазин","07:00-23:00",Ні,Так,Так,"А-95, ДП, А-98",Ні
1104,"OKKO #1105","OKKO","Кам'янець-Подільський","Хмельницька","вул. Центральна, 63, Кам'янець-Подільський","49.408371, 35.767706","магазин","06:00-22:00",Так,Ні,Ні,"А-95, ДП",Ні
726,"UPG #727","UPG","Слов'янськ","Донецька","пр. Миру, 92, Слов'янськ","47.875725, 36.963469","кафе","24/7",Ні,Так,Ні,"А-95, А-92, ДП, Газ",Ні
1170,"OKKO #1171","OKKO","Рівне","Рівненська","вул. Шевченка, 181, Рівне","50.879296, 29.790677","мийка, магазин","07:00-23:00",Так,Ні,Так,"А-95, А-92, ДП",Так
1131,"WOG #1132","WOG","Острог","Рівненська","вул. Шевченка, 39, Острог","49.022413, 38.267427","мийка, магазин","24/7",Ні,Ні,Так,"А-95",Ні
39,"OKKO #040","OKKO","Обухів","Київська","пр. Миру, 67, Обухів","50.585069, 30.901513","мийка, магазин","05:00-21:00",Так,Ні,Так,"А-95, А-92, ДП",Ні
1035,"UPG #1036","UPG","Новоград-Волинський","Житомирська","пр. Незалежності, 66, Новоград-Волинський","48.010742, 30.687802","шиномонтаж","24/7",Так,Так,Так,"А-95, А-92, ДП",Ні
1190,"OKKO #1191","OKKO","Долина","Івано-Франківська","пр. Незалежності, 116, Долина","48.333903, 32.910973","","07:00-23:00",Так,Так,Так,"А-95, А-92, ДП",Ні
800,"OKKO #801","OKKO","Тульчин","Вінницька","пр. Незалежності, 19, Тульчин","49.793647, 29.182953","мийка, магазин","24/7",Так,Так,Так,"А-95, ДП",Ні
810,"UPG #811","UPG","Могилів-Подільський","Вінницька","пр. Незалежності, 104, Могилів-Подільський","48.683090, 28.844755","кафе","05:00-21:00",Так,Так,Так,"А-95, А-92, ДП",Так
47,"УКРНАФТА #048","УКРНАФТА","Ірпінь","Київська","вул. Франка, 156, Ірпінь","50.233565, 30.643616","мийка, магазин","06:00-22:00",Так,Ні,Так,"А-95",Так
978,"ANP #979","ANP","Ромни","Сумська","вул. Центральна, 77, Ромни","49.936462, 31.217036","магазин","06:00-22:00",Ні,Ні,Так,"А-95, А-92, ДП",Ні
444,"Shell #445","Shell","Кривий Ріг","Дніпропетровська","вул. Центральна, 192, Кривий Ріг","48.687521, 35.815205","кафе, магазин","24/7",Ні,Так,Так,"А-95, А-92, ДП",Ні
92,"UPG #093","UPG","Фастів","Київська","вул. Франка, 176, Фастів","50.261247, 30.426943","кафе, магазин","24/7",Ні,Так,Так,"А-95, А-92, ДП, А-98",Ні
437,"UPG #438","UPG","Жовті Води","Дніпропетровська","вул. Шевченка, 135, Жовті Води","48.626767, 35.326788","мийка, магазин, шиномонтаж","24/7",Ні,Так,Так,"А-95, А-92, ДП",Ні
30,"WOG #031","WOG","Фастів","Київська","вул. Центральна, 180, Фастів","50.326173, 31.478808","магазин","05:00-21:00",Так,Так,Так,"А-95, А-92, ДП",Так
907,"WOG #908","WOG","Комсомольськ","Полтавська","пр. Незалежності, 185, Комсомольськ","50.900876, 33.997231","мийка, шиномонтаж","05:00-21:00",Так,Ні,Так,"А-95, А-92, ДП, Газ",Ні
1032,"OKKO #1033","OKKO","Коростень","Житомирська","пр. Миру, 87, Коростень","48.428782, 34.665082","","07:00-23:00",Ні,Так,Так,"А-95, ДП",Ні
653,"OKKO #654","OKKO","Енергодар","Запорізька","вул. Центральна, 74, Енергодар","47.929571, 35.773964","мийка, магазин","06:00-22:00",Так,Ні,Так,"А-95, А-92, А-98",Ні
1014,"БРСМ #1015","БРСМ","Суми","Сумська","пр. Незалежності, 139, Суми","49.459761, 30.036784","мийка, кафе, магазин","24/7",Так,Ні,Так,"А-95, А-92, ДП",Ні
1036,"УКРНАФТА #1037","УКРНАФТА","Новоград-Волинський","Житомирська","вул. Франка, 46, Новоград-Волинський","49.698766, 26.564214","мийка, магазин, шиномонтаж","24/7",Ні,Так,Так,"А-95, А-92, ДП",Так
1206,"БРСМ #1207","БРСМ","Долина","Івано-Франківська","пр. Незалежності, 53, Долина","48.868723, 28.724449","магазин","06:00-22:00",Ні,Ні,Ні,"А-95, А-92, ДП",Ні
448,"UPG #449","UPG","Кривий Ріг","Дніпропетровська","вул. Центральна, 185, Кривий Ріг","48.798193, 34.840259","мийка, магазин","07:00-23:00",Так,Так,Так,"А-95, А-98",Ні
87,"UPG #088","UPG","Бровари","Київська","вул. Франка, 141, Бровари","50.130820, 29.756498","кафе, магазин, шиномонтаж","24/7",Так,Так,Так,"А-95, ДП",Ні
49,"OKKO #050","OKKO","Бровари","Київська","вул. Шевченка, 119, Бровари","50.644724, 30.247331","мийка, кафе","07:00-23:00",Так,Ні,Так,"А-95, ДП, А-98",Так
1056,"УКРНАФТА #1057","УКРНАФТА","Новоград-Волинський","Житомирська","пр. Незалежності, 41, Новоград-Волинський","48.431754, 23.457242","мийка, кафе, магазин, шиномонтаж","07:00-23:00",Ні,Ні,Так,"А-95, А-92, ДП, А-98",Ні
903,"УКРНАФТА #904","УКРНАФТА","Комсомольськ","Полтавська","пр. Миру, 30, Комсомольськ","50.905771, 33.636252","мийка, кафе, магазин","07:00-23:00",Так,Так,Так,"А-95, А-92, ДП",Ні
29,"WOG #030","WOG","Бровари","Київська","вул. Центральна, 110, Бровари","50.557914, 31.071026","магазин","06:00-22:00",Ні,Так,Ні,"А-95, ДП",Так
1094,"УКРНАФТА #1095","УКРНАФТА","Кам'янець-Подільський","Хмельницька","пр. Незалежності, 154, Кам'янець-Подільський","49.794111, 33.947230","магазин","24/7",Ні,Ні,Так,"А-95, ДП",Ні
979,"БРСМ #980","БРСМ","Суми","Сумська","вул. Центральна, 75, Суми","49.924785, 33.401719","магазин","06:00-22:00",Ні,Так,Ні,"А-95, ДП",Ні
1171,"БРСМ #1172","БРСМ","Здолбунів","Рівненська","пр. Миру, 96, Здолбунів","49.523864, 39.409622","магазин","24/7",Ні,Ні,Так,"А-95, А-92, ДП, А-98",Ні
205,"АВІАС #206","АВІАС","Куп'янськ","Харківська","пр. Миру, 25, Куп'янськ","49.394550, 36.853181","мийка, магазин","24/7",Ні,Ні,Так,"А-95, ДП, А-98",Ні
1203,"БРСМ #1204","БРСМ","Калуш","Івано-Франківська","вул. Шевченка, 16, Калуш","48.658470, 37.321870","магазин","06:00-22:00",Так,Так,Ні,"А-95, А-92, ДП",Так
879,"БРСМ #880","БРСМ","Гадяч","Полтавська","вул. Центральна, 63, Гадяч","48.956920, 36.935848","магазин","24/7",Так,Так,Так,"А-95, ДП, Газ",Ні
892,"УКРНАФТА #893","УКРНАФТА","Гадяч","Полтавська","вул. Шевченка, 61, Гадяч","48.213655, 30.236762","мийка","24/7",Так,Ні,Ні,"А-95, А-92, ДП, А-98",Ні
1082,"UPG #1083","UPG","Хмельницький","Хмельницька","вул. Центральна, 33, Хмельницький","49.290125, 32.335525","мийка, кафе, магазин","06:00-22:00",Так,Так,Так,"А-95, А-92, ДП, Газ",Ні
1009,"УКРНАФТА #1010","УКРНАФТА","Ромни","Сумська","пр. Миру, 82, Ромни","50.341704, 25.630534","мийка, магазин","24/7",Так,Так,Ні,"А-95, А-92, ДП, А-98",Так
1236,"Shell #1237","Shell","Бучач","Тернопільська","пр. Незалежності, 61, Бучач","48.333789, 25.051411","кафе","07:00-23:00",Так,Так,Так,"А-95, А-92, ДП",Ні
1414,"UPG #1415","UPG","Хуст","Закарпатська","вул. Центральна, 181, Хуст","50.058876, 26.246579","кафе","07:00-23:00",Ні,Ні,Так,"А-95, ДП",Ні
1279,"АВІАС #1280","АВІАС","Володимир-Волинський","Волинська","пр. Незалежності, 156, Володимир-Волинський","49.000901, 27.402505","мийка, кафе, магазин","06:00-22:00",Так,Так,Ні,"А-95, А-92, ДП",Ні
779,"УКРНАФТА #780","УКРНАФТА","Жмеринка","Вінницька","вул. Франка, 64, Жмеринка","49.301751, 27.564596","магазин","24/7",Так,Так,Ні,"А-95, А-92",Ні
449,"OKKO #450","OKKO","Жовті Води","Дніпропетровська","пр. Миру, 80, Жовті Води","48.266809, 34.455310","мийка, кафе, магазин","07:00-23:00",Так,Ні,Так,"А-95, А-92, ДП",Ні
